rank,curated_rank,gazetteer_name,gaode_map_item,place_type,mention_level,canonical_mention_count,raw_surface_count,top_themes,reason,has_coord,coordinate_quality,lon,lat,coord_source,coord_status,coord_crs,match_status,visual_priority,primary_year,time_type,year_list,year_count,rank_label,context_examples,first_context,notes
8,7,金星大队,金星大队,historic_admin,高频,106,119,基层治理:52；交通水系:18；教育民生:8,该地名属于历史行政/集体组织，在志书中约出现106次，主要关联基层治理、交通水系；主要时间锚点为1958年。,0,缺坐标,,,,missing,,manual,medium,1958,集体化与农业建设,1958;1959;1960;1961;1962;1965;1966;1967;1969;1970;1971;1972;1975;1976;1977;1978;1979;1980,18,7. 金星大队（106次）,练。10月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬 || 0两制。3月22日，马永昌当选为中共吴县第二次党代会代表。是月，吴县红旗大学改为吴县农业高级中学，校址设在境域尹山。8月26日，金星大队选送朱和尚、陈多妹（女）、戈云福、罗呆妹（女）、钱美朗（女）、任招生，新华大队选送许金土、陶关林、陶云宝（女）、周连福、周云金（ || 。12月，金星、新华大队先后成立“造反队”“战斗队”。1967年1月，受上海“一月风暴”影响，金星、新华大队风行“夺权”。2月，金星大队成立养鱼专业队，在泥河田港放养鱼苗。3月，金星、新华大队党、政工作由大队民兵营长主持。1968年3月5日，始行废除土葬。8月，掀,行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境,
9,8,新华大队,新华大队,historic_admin,高频,103,124,基层治理:48；农业工业:11；教育民生:10,该地名属于历史行政/集体组织，在志书中约出现103次，主要关联基层治理、农业工业；主要时间锚点为1958年。,0,缺坐标,,,,missing,,manual,medium,1958,集体化与农业建设,1958;1959;1960;1962;1967;1969;1970;1972;1973;1974;1975;1979;1980,13,8. 新华大队（103次）,化，境内青壮年集体住宿训练。10月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥 || 社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金 || 办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境内第一辆品牌为凤凰的自行车。101959年1月，开展除四害、捕捉麻雀的群众运动,月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干,
10,9,小村,小村,historic_settlement,高频,89,105,基层治理:95；交通水系:78；开发建设:19,该地名属于历史自然村，在志书中约出现89次，主要关联基层治理、交通水系；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1949;1951;1954;1965;1980;1984;1996;2001;2004;2013;2017,11,9. 小村（89次）,山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合 || 域归属吴县车坊区宝带乡。4月15日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院、最高 || 村居民生活小区安装技防监控。2013年3月18日，宝带桥社区根据吴中区建设“宝带桥·澹台湖景区综合整治”要求，对拆迁区域（下田、小村）357户居民实施上门通知动员。4月12日步入丈量评估，7月24日正式签约。9月，联合国教科文组织专家在大运河苏州段现场考察评估,，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1,
12,10,朱塔浜,朱塔浜,historic_settlement,中高频,71,92,交通水系:58；基层治理:40；教育民生:27,该地名属于历史自然村，在志书中约出现71次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1949;1950;1951;1954;1991;1996;1998;2000;2004;2017,10,10. 朱塔浜（71次）,分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥 || 境内）4个乡，境域归属吴县车坊区宝带乡。4月15日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府 || 世界语出版社出版的《水乡苏州》明信片图录。1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。11月8日，村办集体企业实行转制，将宝南拼线厂转制给原承包人经营，性质由集体企业转为私营企业,江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村,
13,11,钱家村,钱家村,historic_settlement,中高频,68,83,交通水系:83；基层治理:76；农业工业:9,该地名属于历史自然村，在志书中约出现68次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1909;1949;1950;1951;1954;1968;1974;1978;2000;2004;2017,11,11. 钱家村（68次）,尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1 || ，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置 || （今吴江境内）4个乡，境域归属吴县车坊区宝带乡。4月15日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央,（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5,
14,12,沉家浜,沉家浜,historic_settlement,中高频,62,66,基层治理:78；交通水系:76；教育民生:8,该地名属于历史自然村，在志书中约出现62次，主要关联基层治理、交通水系；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1949;1950;1951;1954;1958;2004;2005;2017,8,12. 沉家浜（62次）,宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2 || 至廿五港刺死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店主之妻被日本兵强暴，遂与店主合力将施暴日军处死。为躲避抓捕，隐居太湖，至死未归。1942年 || 个乡，境域归属吴县车坊区宝带乡。4月15日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院,）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西,
15,13,王家浜,王家浜,historic_settlement,中高频,59,71,交通水系:89；基层治理:81；教育民生:12,该地名属于历史自然村，在志书中约出现59次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1929;1942;1949;1950;1951;1954;1958;1969;1991;1992;1995;1996;2004;2017,14,13. 王家浜（59次）,带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月，长桥乡 || 强暴，遂与店主合力将施暴日军处死。为躲避抓捕，隐居太湖，至死未归。1942年是年，境内下田村坟堂上沈永泉家里办起私塾小学。随即，王家浜钱祥根家里也办起了私塾。1944年6月15日，苏州至尹山，途经境域一段，全长29.98千米沙土公路通车。1978年改沙土路面为沥 || 日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院、最高人民法院颁布的《关于镇压反革命活动,树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，,
17,14,金家村,金家村,historic_settlement,中高频,56,74,交通水系:72；基层治理:50；农业工业:15,该地名属于历史自然村，在志书中约出现56次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1949;1951;1954;1968;1972;1995;2000;2001;2004;2015;2017,11,14. 金家村（56次）,年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。19 || 路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施环境、卫 || 山及青树（今吴江境内）4个乡，境域归属吴县车坊区宝带乡。4月15日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，,山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛,
19,16,太湖,太湖,water,中高频,52,58,交通水系:34；基层治理:8；教育民生:6,该地名属于湖泊水面，在志书中约出现52次，主要关联交通水系、基层治理；主要时间锚点为-190年。,0,缺坐标,,,,missing,,review,medium,-190,古代-清末,-190;1454;1863;1977;1978;2000;2004,7,16. 太湖（52次）,河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，受太湖水体调节，气候宜人，雨量充沛，日照充足，无霜期长，宜农宜渔，是典型的江南鱼米之乡。2017年12月，宝带桥社区总面积3.2平方千 || 前222）秦平定楚之江南地，境域归秦。秦秦始皇二十六年（前221）以吴国故都设立吴县，境域属吴县。汉惠帝五年（前190）夏大旱，太湖涸。武帝年间（前140—前87）开挖吴县至嘉兴段运河，途经境域。三国吴大帝年间（222—252）始建生产丝织品的官营“织络”作坊 || ，境域田地皆满，稻谷荡尽。明正统年间（1436—1449）巡抚周忱修治宝带桥。景泰五年（1454）正月大雪，历二旬不止，深丈余，太湖诸港连底结冻，舟楫不通。夏大水，秋亢旱。弘治十四年（1501）十月七日，地大震，屋宇动摇，人立者数起数仆。嘉靖二十三年（1544,路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，受太湖水体调节，气候宜人，雨量充沛，日照充足，无霜期长，宜农宜渔，是典型的江南鱼米之乡。2017年12,
20,17,西下田,西下田,historic_settlement,中高频,48,197,基层治理:63；交通水系:40；开发建设:27,该地名属于历史自然村，在志书中约出现48次，主要关联基层治理、交通水系；主要时间锚点为1950年。,0,缺坐标,,,,missing,,review,high,1950,集体化与农业建设,155;157;161;163;1954;1996;2000;2001;2003;2004;2005;2007;2017;2020,14,17. 西下田（48次）,刺死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店主之妻被日本兵强暴，遂与店主合力将施暴日军处死。为躲避抓捕，隐居太湖，至死未归。1942年是年，境 || 南纸箱厂转制给原承包人经营，性质由集体企业转为私营企业。7月至11月，牛桩浜27户居民、泥河田23户居民先后搬至朱塔浜、沉家浜、西下田居民生活小区。10月3日至6日，2000年中国吴县市环太湖世界特技飞行奖大赛在太湖之滨举行，村民纷纷前往观看。2001年2月28 || 月，1100米的金家村河清淤污泥9000立方米。2月，上旬气温骤降，最低温度-10℃，境内水管、水表爆裂无数，冻损严重。12月，西下田北区（别墅区）沈才全家四楼的煤气罐爆炸，租户严重烧伤，四楼东三墙墙体倒塌，门窗损坏，被鉴定为危房。2016年2月18日，宝带桥社,河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店主之妻被日本兵强暴，遂与店主合力将施暴日军处死。为躲避抓捕，隐居太,
21,18,牛桩浜,牛桩浜,historic_settlement,中高频,46,58,交通水系:97；基层治理:81；教育民生:14,该地名属于历史自然村，在志书中约出现46次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1929;1949;1950;1951;1954;1968;1991;1992;1995;2000;2004;2017,12,18. 牛桩浜（46次）,桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月，长桥乡并入郭巷乡，境域隶属郭巷 || 里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施环境、卫生、安全等长效管理。宝带桥社区历 || 树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院、最高人民法院颁布的《关于镇压反革命活动的指示》，开展镇压反革命,村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月,
22,19,宝南村,宝南村,historic_admin,中高频,44,91,基层治理:58；交通水系:24；农业工业:12,该地名属于历史行政/集体组织，在志书中约出现44次，主要关联基层治理、交通水系；主要时间锚点为1956年。,0,缺坐标,,,,missing,,manual,medium,1956,集体化与农业建设,1956;1983;1984;1986;1987;1989;1990;1992;1993;1994;1995;1996;1997;1999;2000;2001;2002;2003,19,19. 宝南村（44次）,行村级体制改革，设立2个行政村、31个村民小组，撤销生产大队和生产小队。宝尹大队更名为宝尹村，下辖10个村民小组；宝南大队更名为宝南村，下辖21个村民小组。10月4日至23日，连续降雨250毫米左右，境内低洼农田受淹。大事记1411月13日，中顾委常委陆定一视察 || 常委陆定一视察宝带桥。1984年1月17日，11时开始降雪，至19日8时止，持续45小时，境内数根电线杆被压断，房屋倒塌。宝尹、宝南村组织突击进行抗冻防寒救灾工作。4月9日，宝尹村潘苏英当选吴县第八届人民代表大会代表。5月21日23时39分，南黄海发生6.3级地 || 英当选吴县第八届人民代表大会代表。5月21日23时39分，南黄海发生6.3级地震，境内有震感。7月20日，宝尹村罗纪根、钱招媛，宝南村陈龙元、陆美香、陈锦男当选长桥乡第九届人民代表大会代表。是月，宝南吊装运输队成立，并常驻苏州化学纤维厂。是年，宝南村的钱家村、金,31个村民小组，撤销生产大队和生产小队。宝尹大队更名为宝尹村，下辖10个村民小组；宝南大队更名为宝南村，下辖21个村民小组。10月4日至23日，连续降雨250毫米左右，境内低洼农田受淹。大事记,
23,20,宝尹村,宝尹村,historic_admin,中高频,41,77,基层治理:47；交通水系:28；农业工业:8,该地名属于历史行政/集体组织，在志书中约出现41次，主要关联基层治理、交通水系；主要时间锚点为1983年。,0,缺坐标,,,,missing,,manual,medium,1983,改革开放初期,1968;1983;1984;1985;1986;1987;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2001,22,20. 宝尹村（41次）,内连降暴雨，雨量达144毫米。8月，境内实行村级体制改革，设立2个行政村、31个村民小组，撤销生产大队和生产小队。宝尹大队更名为宝尹村，下辖10个村民小组；宝南大队更名为宝南村，下辖21个村民小组。10月4日至23日，连续降雨250毫米左右，境内低洼农田受淹。大 || 1时开始降雪，至19日8时止，持续45小时，境内数根电线杆被压断，房屋倒塌。宝尹、宝南村组织突击进行抗冻防寒救灾工作。4月9日，宝尹村潘苏英当选吴县第八届人民代表大会代表。5月21日23时39分，南黄海发生6.3级地震，境内有震感。7月20日，宝尹村罗纪根、钱招 || 。4月9日，宝尹村潘苏英当选吴县第八届人民代表大会代表。5月21日23时39分，南黄海发生6.3级地震，境内有震感。7月20日，宝尹村罗纪根、钱招媛，宝南村陈龙元、陆美香、陈锦男当选长桥乡第九届人民代表大会代表。是月，宝南吊装运输队成立，并常驻苏州化学纤维厂。是,月，境内实行村级体制改革，设立2个行政村、31个村民小组，撤销生产大队和生产小队。宝尹大队更名为宝尹村，下辖10个村民小组；宝南大队更名为宝南村，下辖21个村民小组。10月4日至23日，连续降雨25,
24,21,港南浜,港南浜,historic_settlement,中高频,41,45,交通水系:88；基层治理:84；教育民生:6,该地名属于历史自然村，在志书中约出现41次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1929;1949;1950;1951;1954;1992;1996;1997;1998;2004;2017,11,21. 港南浜（41次）,月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月，长桥乡并入郭巷 || 乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院、最高人民法院颁布的《关于镇压反革命活动的指示》 || 带桥南堍。是年，宝带桥入选中国世界语出版社出版的《水乡苏州》明信片图录。1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。11月8日，村办集体企业实行转制，将宝南拼线厂转制给原承包人经,尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属,
28,24,宝南,宝南,place,中频,25,615,基层治理:62；农业工业:29；交通水系:26,该地名属于地方简称，在志书中约出现25次，主要关联基层治理、农业工业；主要时间锚点为1950年。,0,缺坐标,,,,missing,,review,low,1950,集体化与农业建设,555;559;635;639;1050;1054;1070;1074;1147;1937;1957;1980;1983;1985;1990;1991;1992;1994,23,24. 宝南（25次）,陈林男、朱阿夯、马金（根）姐当选长桥人民公社第八届人民代表大会代表。11月，为避地名重叠，金星大队更名为宝尹大队、新华大队更名为宝南大队。1981年3月，开展“五讲”（讲文明、讲礼貌、讲卫生、讲秩序、讲道德）“四美”（心灵美、语言美、行为美、环境美）、学雷锋、 || 桥（竹桥）改建为石桥。7月1日，全国第三次人口普查登记，以0时标准统计时间为准。境内有常住人口2922人，其中：宝尹1146人，宝南1776人，男性1444人，女性1478人。12月，推行联产到劳责任制，分田到组。1983年3月，全面推行家庭联产承包责任制，分 || ，全面推行家庭联产承包责任制，分田到户。6月20日至7月18日，阴雨连绵，境内低洼农田被淹。7月21日，宝尹大队罗纪根、钱招媛，宝南大队陈林男、陶官林、何招根妹当选为中共长桥乡第四次党代会代表。7月31日，晚上7时至次日上午7时，境内连降暴雨，雨量达144毫米,长桥人民公社第八届人民代表大会代表。11月，为避地名重叠，金星大队更名为宝尹大队、新华大队更名为宝南大队。1981年3月，开展“五讲”（讲文明、讲礼貌、讲卫生、讲秩序、讲道德）“四美”（心灵美、语,
